Issue key,Issue id,Status,Created,Updated,Custom field (Implementation Planned End Date),Custom field (Implementation Planned Start Date),Assignee,Custom field (Closed Date),Creator,Custom field (Defect Type),Custom field (Environment),Custom field (Feature Link),Custom field (How I Fixed (Resolution Provided)),Custom field (How It Happened? (Root Cause)),Summary,Custom field (Test Type)
INSBFOS-1079,312028,Closed,24/Mar/23 3:37 PM,28/Mar/23 10:20 AM,,,462587,28/Mar/23 10:20 AM,462587,Program Error,UAT,INSBFOS-423,"As the cover note integration jar file is not a latest one in MSV CR environment. Kindly replace latest jar file from below path and try again.
Branch : feature/rhbi_profile4_UAT_121_9446_QUEST-7380_MSV_19Jan2023
File : NsureDiamond\motor\Schedulers\UINFD0090B\MOTORENDT_P2G.jar",Endorsement cover note integration jar file is not a latest one in MSV CR environment.,[QUEST-7380/INSBFOS-1079] #Defect 14:Unable to integrate cover note via Jenkin job 90B,
INSBBOS-454,311614,Closed,24/Mar/23 9:13 AM,10/Jul/23 10:11 AM,,,407699,10/Jul/23 10:11 AM,407699,Program Error,Production,,"When processing the jpj status, the CHR CN PROCESSED IND is updated in ""EIS TRN CN CANCEL JPJ STATUS.""","When processing the jpj status, the CHR CN PROCESSED IND is not updated in ""EIS TRN CN CANCEL JPJ STATUS.""","[BAU-Production Support]cover note cancellation successful, but cn status still show as APPROVED",
INSBFOS-1074,310761,Closed,23/Mar/23 2:26 PM,27/Mar/23 11:45 AM,,,462587,27/Mar/23 11:44 AM,462587,Program Error,UAT,INSBFOS-423,"The mileage adjustment formula remains the same as you shared. Earlier current date was used to retrieve the POC days, resulting in incorrect revised mileage being displayed. To handle this, used the policy's inception date to calculate the POC days. The leap year day was not taken into account when calculating POC days. That handling only done and given in last release.",The leap year day was not considered while computing the entitled mileage on upgrading plan.,[QUEST-7380/INSBFOS-1074] #Defect 13: Revised Mileage Limit does not meet expected result ,UAT
INSBBOS-453,309082,Closed,21/Mar/23 4:44 PM,28/Mar/23 4:24 PM,,,C005013,28/Mar/23 4:24 PM,C003999,Program Error,UAT,INSBBOS-318,To enhanced the program to detect the transaction and send to error report.,Program failed to detect record in transaction.,[QUEST-6701/INSBBOS-453] Defect 01: Unable to generate claim report,UAT
INSBFOS-1067,308748,Closed,20/Mar/23 9:50 PM,25/Mar/23 2:01 AM,,,C006616,24/Mar/23 5:34 PM,452730,Others,,INSBFOS-862,Jenkins job fixed. Please check now,Issue with Jenkins job fixed. Please check now,[BUG#2] Batch job for 30b 35b and 40b not functioning,UAT
INSBBOS-451,308337,Closed,20/Mar/23 2:26 PM,20/Mar/23 11:02 PM,,,C003602,20/Mar/23 11:02 PM,C003602,Program Error,UAT,INSBBOS-319,to group up the amount if same claims number,records output according the claims registration and adjustment count.,[QUEST-8914][INSBFOS-451]#Defect 4: Claim amount in details report,UAT
INSBBOS-450,308334,Closed,20/Mar/23 2:20 PM,20/Mar/23 11:02 PM,,,C003602,20/Mar/23 11:02 PM,C003602,Program Error,UAT,INSBBOS-319,"re-write surplus count formula, to calculate by claims number.","production issue.
the surplus count, count by total adjustment of the claims.",[QUEST-8914][INSBFOS-450]#Defect 3: Error on surplus count,UAT
INSBBOS-449,308333,Closed,20/Mar/23 2:17 PM,20/Mar/23 11:02 PM,,,C003602,20/Mar/23 11:02 PM,C003602,Program Error,UAT,INSBBOS-319,extend the length,length not sufficient to show in report.,[QUEST-8914][INSBFOS-449]#Defect 2: field length for SI Band and Actual SI ,UAT
INSBBOS-448,308332,Closed,20/Mar/23 2:16 PM,20/Mar/23 11:02 PM,,,C003602,20/Mar/23 11:02 PM,C003602,Program Error,UAT,INSBBOS-319,SQL put in more criteria to able select unique,SQL selection not able to select only 1 record.,[QUEST-8914][INSBFOS-448]#Defect 1: Error message when processing /generate report,UAT
INSBFOS-1061,306534,Closed,16/Mar/23 11:15 AM,21/Mar/23 5:30 PM,,,C006616,21/Mar/23 5:30 PM,462502,Program Error,Pre-Prod,INSBFOS-723,Carfix trigger program logic has been modified to Send Policy type as 'U' for UBT extra coverage endorsements,"UBT under extra coverage endorsement where not covered in existing Carfix trigger program logic. So, policy type sent as 'C' for UBT cases also.",[QUEST-8397][INSBFOS-1061]#Defect 14: Wrong Vehicle Policy Type in EPO File,Operation Readiness Test (ORT)
INSBFOS-1057,306214,Closed,15/Mar/23 6:43 PM,18/Mar/23 2:01 AM,,,C003602,16/Mar/23 9:47 AM,C003602,Program Error,Pre-Prod,INSBFOS-162,Removed that CN  from the table.,"
is data issue.. JPJ reply table got CN which not exist in the Transaction table, so it throw the exception.. ",[Quest-5589][INSBFOS-1057]#Defect 23: Unable to run JPJ job,Operation Readiness Test (ORT)
INSBFOS-1031,304565,Closed,14/Mar/23 11:25 AM,21/Mar/23 2:32 PM,,,C006616,21/Mar/23 2:32 PM,462502,Program Error,Pre-Prod,INSBFOS-723,"Kindly generate new integration jar from below files and re-test using new cover notes.

   Branch : release/rc-1.51.0-14FEB2022
   Files: Database/PACKAGE/PKG_DI_COVERNOTE.sql 
Integration/common/src/main/java/com/kgisl/nsure/integration/common/utils/ValidationUtils.java
Integration/motor_others/src/main/java/com/kgisl/nsure/integration/cn/db/MotorOthersSQL.java
Integration/motor_others_active/src/main/java/com/kgisl/nsure/integration/cn/dao/MotorOthersActiveDAOImpl.java
Integration/motor_others_renewal/src/main/java/com/kgisl/nsure/integration/cn/dao/MotorOthersRenewalDAOImpl.java
",The program changes have been done for the requirement changes received requested by Charmaine,[QUEST-8397/INSBFOS-1031]#Defect 13: Integration Fail for RRA as Extra Coverage,Operation Readiness Test (ORT)
INSBFOS-1024,304329,Closed,13/Mar/23 9:50 PM,16/Mar/23 4:50 PM,,,462587,16/Mar/23 4:50 PM,462587,Data mapping error,Pre-Prod,INSBFOS-723,Integration level updating done but no fixes from KG end.,"Based on the data analysis, Received renewal policy details from GIS and integrated till Diamond staging table. But we could not find in renewal policy transaction table.
We have imported same GIS data in KG' local environment and able to integrate into renewal policy transaction table successfully and able to see in policy search also.",[QUEST-8397/INSBFOS-1024]#Defect 12:  No records found when search policy number or cover note number at policy search,UAT
INSBFOS-1023,304408,Closed,13/Mar/23 6:24 PM,16/Mar/23 4:48 PM,,,462811,16/Mar/23 4:48 PM,462811,Program Error,UAT,INSBFOS-723,"No fixes were provided by KG, only analysis is done.","Dear Nazmi,

   Based on data analysis, GIS system is not sent Cross selling cover note details for this renewal policy.  Hence Motor renewal policy integrated without RRA cross selling.

   So that, Cross selling product grid not auto populated with RRA.


     

Regards,
Diamond Support Team",[QUEST-8397/INSBFOS-1023]#Defect 11: RRA in cross selling not auto populate in renewal screen,UAT
INSBFOS-1022,304190,Closed,13/Mar/23 5:01 PM,16/Mar/23 5:16 PM,,,462502,16/Mar/23 5:16 PM,462502,Program Error,Pre-Prod,INSBFOS-723,"No fixes, issue has been clarified.","UBT will be listed in the Endorsement screen only when the Endorsement date is earlier than the Policy Inception Date. For the policy 'D23MPCP0233657KL', as the Inception date is '09-MAR-2023' and the Endorsement date is '13-MAR-2023', UBT will not be listed in the drop down in Endorsement screen.",(QUEST-8397)[INSBFOS-1022]#Defect 10: Unable to add UBT for endorsement ,Operation Readiness Test (ORT)
INSBFOS-1021,304057,Closed,13/Mar/23 2:54 PM,23/Mar/23 9:52 PM,,,C006616,23/Mar/23 9:52 PM,452730,Program Error,UAT,INSBFOS-862,Code has been changed in java it displays expected spaces in print.,In existing handling space changes are using oracle query but It takes more spaces and not able to display expected spaces in print.,[QUEST-9008/INSBFOS-1021] Defect#1- PP list did not print on Document.,UAT
INSBFOS-1020,303846,Closed,13/Mar/23 12:09 PM,15/Mar/23 8:51 AM,,,C003602,14/Mar/23 11:23 AM,C003602,Program Error,,INSBFOS-162,"After build the common-1.0.jar for the lib folder as per requested, no more error. (No fixes provided by KG end)",Due to affected cover notes(cover code as NULL) stuck in staging table which causes integration failed. Hence patch script was provided.,[Quest-5589][INSBFOS-162]#Defect 22: Integration 5551B job failed,UAT
INSBFOS-1013,303241,Closed,10/Mar/23 10:19 PM,15/Mar/23 4:51 PM,,,462811,15/Mar/23 4:51 PM,462811,Program Error,UAT,INSBFOS-723,"Kindly generate new integration jar from below files and re-test using new cover notes.

   Branch : release/rc-1.51.0-14FEB2022
   Files: Database/PACKAGE/PKG_DI_COVERNOTE.sql
Integration/common/src/main/java/com/kgisl/nsure/integration/common/utils/ValidationUtils.java
Integration/motor_others/src/main/java/com/kgisl/nsure/integration/cn/db/MotorOthersSQL.java
Integration/motor_others_active/src/main/java/com/kgisl/nsure/integration/cn/dao/MotorOthersActiveDAOImpl.java
Integration/motor_others_renewal/src/main/java/com/kgisl/nsure/integration/cn/dao/MotorOthersRenewalDAOImpl.java",The program changes have been done for the requirement changes received requested by Charmaine,[INSBFOS-723]#Defect 9:  cover note number and vehicle number blank when do Renewal with RRA as cross selling ,UAT
INSBFOS-1012,303240,Closed,10/Mar/23 9:13 PM,14/Mar/23 11:21 AM,,,462587,14/Mar/23 11:21 AM,462587,Parameter/Setup Error,Pre-Prod,INSBFOS-723,"After build the common-1.0.jar for the lib folder as per requested, no more error. (No fixes provided by KG end)",Due to affected cover notes(cover code as NULL) stuck in staging table which causes integration failed. Hence patch script was provided.,[QUEST-8397/INSBFOS-1012] #Defect 08:Unable to integrate cover note via Jenkin job 5551B,UAT
INSBFOS-1003,302244,Closed,09/Mar/23 5:39 PM,15/Mar/23 6:23 PM,,,462502,15/Mar/23 6:23 PM,462502,Program Error,,INSBFOS-723,"After build the common-1.0.jar for the lib folder as per requested, no more error. (No fixes provided by KG end)",Due to affected cover notes(cover code as NULL) stuck in staging table which causes integration failed. Hence patch script was provided.,[INSBFOS-723]#Defect 7: Integration fail for Motor-Others Cases with RRA,Operation Readiness Test (ORT)
INSBFOS-1002,301719,Closed,08/Mar/23 10:00 PM,22/Mar/23 9:33 AM,,,453228,22/Mar/23 9:33 AM,C005922,Program Error,,INSBFOS-731,"We got assisted by infra team to open for HTTPS port.
and changed the pointer to EDMS from HTTP to HTTPS","RHB network team was blocked for HTTP access
and EDMS failure due to Diamond still using HTTP as the protocol ",[QUEST-7321/INSBFOS-1002] #Defect 02: Diamond Failed to Connect EDMS,UAT
INSBFOS-1001,301579,Closed,08/Mar/23 6:21 PM,11/Mar/23 2:02 AM,,,C003602,10/Mar/23 11:06 PM,C003602,Program Error,,INSBFOS-162,We have fixed and revert by considering same language which is used for sending Quotation.,"Since, Cover note decline template available in multiple languages and also there is no option to select message language in refer risk approval screen, system picked latest decline template irrespective of language.",[Quest-5589][INSBFOS-162]#Defect 21: Receive incorrect Cover Note Declined Template,
INSBFOS-999,301610,Closed,08/Mar/23 5:58 PM,13/Mar/23 6:52 PM,,,462502,13/Mar/23 6:52 PM,462502,Program Error,,INSBFOS-723,We have updated production transfer indicator as 'N' in transaction table. Kindly re-integrate cover note with latest jar in order to integrate RRA cross selling cover notes.,"We have analyzed transaction table data and there are no issues in data stamping.
Here, 'cnpacovertype' sent as NULL to GIS is due to cover note integrated with old version of jar (new 50B) which doesn't having new RRA plans handling.

   ",[INSBFOS-723]#Defect 6: Integration fail for RRA cross selling,Operation Readiness Test (ORT)
INSBFOS-993,301519,Closed,08/Mar/23 4:48 PM,21/Mar/23 2:33 PM,,,C006616,21/Mar/23 2:33 PM,462587,Program Error,UAT,INSBFOS-423,Please select 'Cancel without Replacement' option from client profile,"Based on the table stamping, cover note status is “Cancelled” and not 'Cancelled/Replaced'. Which means user should have selected as 'Cancel without Replacement' option from client profile. So, for this option, Replaced cover note will not come.",[QUEST-7380/INSBFOS-993] #Defect 11: The replacement cover note number not found in client profile,UAT
INSBFOS-992,300731,Closed,07/Mar/23 10:07 PM,11/Mar/23 2:02 AM,,,C003602,10/Mar/23 2:20 PM,C003602,Program Error,,INSBFOS-162,The program logic has been modified to find exact days difference between payment date and JPJ Status Received date. Now able to receive client mail as expected.," The program logic issued to find out the days difference between payment date and JPJ Status Received date having logical error and returned negative value. So, mail    format 2 is not triggered.",[Quest-5589][INSBFOS-162]#Defect 20: Incorrect cover note status when MPGS void fail  ,Operation Readiness Test (ORT)
INSBFOS-991,300482,Closed,07/Mar/23 6:05 PM,13/Mar/23 5:13 PM,,,462502,13/Mar/23 5:13 PM,462502,Program Error,UAT,INSBFOS-723,"We have fixed this issue by updating valid sequence number for extra coverage table and its working fine now.
You can retest this issue with new cover note and confirm.",The below issue is related environment issue. We have found extra coverage table primary key column is not having auto generated sequence.,[INSBFOS-723]#Defect 5: RRA as Extra Coverage Disappear after Cancel With Replacement   ,UAT
INSBFOS-987,300665,Closed,07/Mar/23 5:39 PM,21/Mar/23 5:24 PM,,,462502,21/Mar/23 5:24 PM,462502,Program Error,UAT,INSBFOS-723,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[INSBFOS-723]#Defect 4: PDS Document are Not Downloaded in the Latest Version,UAT
INSBFOS-1018,300288,Closed,07/Mar/23 2:30 PM,15/Mar/23 8:51 AM,,,462587,10/Mar/23 4:54 PM,462587,Parameter/Setup Error,UAT,INSBFOS-423,No fix provided from KG,"Based on the table stamping, The below mentioned cover notes are issued on 30 & 31st of January and its auto void by system on 13 & 14th of Feb due to not approved within allowed days. So, those cover notes will not be displayed for motor saver approval.",[QUEST-7380/INSBFOS-1018] #Defect 10: Reference number not found in motor saver approval,UAT
INSBFOS-1015,300276,Closed,07/Mar/23 12:40 PM,15/Mar/23 8:51 AM,,,462587,10/Mar/23 4:50 PM,462587,Program Error,UAT,INSBFOS-423,The 'DTT_PARAM_VALUE' in EIS_GENERAL_PARAMETERS table only referred for 'MOTOR_SAVER_APPROVAL_CUTOFF_DATE'. Kindly set the date to past date and check once.,"Based on the MOTOR_SAVER_APPROVAL_CUTOFF_DATE configured in EIS_GENERAL_PARAMETERS table, mandatory validation will be applied for odometer reading, entitled mileage and final mileage.",[QUEST-7380/INSBFOS-1015] #Defect 09: WS04 Submission required motor saver approval,UAT
INSBBOS-429,300275,Closed,07/Mar/23 12:36 PM,21/Jul/23 9:25 AM,,,407699,21/Jul/23 9:25 AM,407699,Program Error,Production,,Fixed released on 9th Mar to regression,"As the cancellation request was sent twice, the cover note status was reverted from 'Cancelled'. and Patch provided at the moment","[BAU-Production Support] endorsement cancellation successful, but endorsement status still show as APPROVED",
INSBFOS-984,300356,Closed,07/Mar/23 12:15 PM,14/Mar/23 6:06 PM,,,462502,14/Mar/23 6:06 PM,462502,Program Error,,INSBFOS-723,Sufian had setup the new plan in GIS,New plan was not setup in GIS,[INSBFOS-723]#Defect 3: UW Remark Incorrect,Operation Readiness Test (ORT)
INSBBOS-428,300270,Closed,07/Mar/23 12:00 PM,21/Jul/23 9:26 AM,,,407699,21/Jul/23 9:26 AM,407699,Program Error,Production,,"The trailer number is changed to 'NA', while the cover note type is changed to ""new registration"".",The trailer number is not changed to 'NA' while changing the cover note type to new registration.,[BAU-Production Support] Vehicle no auto updated as NA for new registration cn ,
INSBFOS-1019,300259,Closed,07/Mar/23 11:35 AM,20/Mar/23 10:50 AM,,,453228,20/Mar/23 10:50 AM,462587,Environment Error,UAT,INSBFOS-423,request infra for HTTPS firewall open,Network blocking issue due to HTTP is not accessible,[QUEST-7380/INSBFOS-1019] #Defect 8: The odometer image unable to find in EDMS.,UAT
INSBFOS-983,300321,Closed,07/Mar/23 10:45 AM,13/Mar/23 5:03 PM,,,462502,13/Mar/23 5:03 PM,462502,Program Error,UAT,INSBFOS-723, Program logic has been modified to send vehicle number and make model details to Carfix even for 'Other Insurance' policy source option selected.,"While generating motor-others cover note by selecting 'Policy Source' option as a 'Other Insurance', System failed to send vehicle number and make model details to Carfix due to invalid program logic.",[INSBFOS-723]#Defect 2: Missing Details in  EPO Text File ,UAT
INSBFOS-982,299111,Closed,03/Mar/23 3:00 PM,10/Mar/23 11:27 AM,,,C003602,10/Mar/23 11:27 AM,C003602,Program Error,,INSBFOS-162, Solution : program has been modified as per request.n fixes,"Root cause : Cosmetic changes requested in grid filter.

",[Quest-5589][INSBFOS-162] #Defect 2:Action column filtering in Renewal Listing and Task List,Operation Readiness Test (ORT)
INSBFOS-981,299106,Closed,03/Mar/23 2:51 PM,10/Mar/23 11:23 AM,,,C003602,10/Mar/23 11:23 AM,C003602,Program Error,,INSBFOS-162,Solution:  Handled as per the request disable renewal status filter in whatsapp notification centre when selecting task list,Root Cause:  As per the request need to disable renewal status filter option in whatsapp notification centre when selecting task list,[Quest-5589][INSBFOS-162] #Defect 1: Renewal status column filtering in Renewal Listing,
INSBFOS-979,298920,Rejected,03/Mar/23 11:02 AM,14/Mar/23 2:06 PM,,,C006616,,C005922,Program Error,,INSBFOS-731,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[QUEST-7321/INSBFOS-979] Defect 01: The value for Discount and Commission in Generic Cover Note shall exceed 0,
INSBFOS-1017,298829,Closed,03/Mar/23 10:09 AM,15/Mar/23 8:51 AM,,,462587,10/Mar/23 4:52 PM,462587,Parameter/Setup Error,UAT,INSBFOS-423,"The issue is fixed and committed in the branch 'rhbi_profile4_UAT_121_9446_QUEST-7380_MSV_19Jan2023'.

File list:
motor/ApplicationSource/src/main/java/com/kgisl/nsure/transaction/services/MotorServiceImpl.java","As the MSV POC Range validation does not consider the leap year day, MSV applicable indicator was set as 'N'. Hence the response is displayed as 'MOTOR SAVER DISCOUNT IS NOT APPLICABLE FOR GIVEN COVER NOTE DETAILS'.",[QUEST-7380/INSBFOS-1017] #Defect 07: MSV Shared API WS10 does not meet expected result ,UAT
INSBBOS-415,298818,Closed,03/Mar/23 9:33 AM,16/Mar/23 9:09 AM,,,462811,16/Mar/23 9:09 AM,462811,Program Error,UAT,INSBBOS-310,"Kindly execute the below script.
ALTER TABLE EIS_TRN_REN_POL ADD NUM_CURR_PREMIUM  NUMBER (14, 4);
ALTER TABLE EIS_TRN_REN_POL_HIST ADD NUM_CURR_PREMIUM  NUMBER (14, 4);","Error recorded in sysout.log provided by Ranjith, KG Team informed that sysout.log script which is released for 'Medisure Supreme Repricing' is not available in the respective schema.",[INSBBOS-310] Defect 01:Renewal notice print out  is blank Medisure repricing renewal notice,
INSBFOS-978,298555,Rejected,02/Mar/23 5:44 PM,10/Mar/23 11:11 AM,,,C006616,,462502,Program Error,UAT,INSBFOS-723,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[INSBFOS-723]#Defect 1: Different Vehicle Number in Quotation for Cross Selling ,
INSBFOS-1016,298535,Closed,02/Mar/23 5:13 PM,15/Mar/23 8:51 AM,,,462587,10/Mar/23 4:53 PM,462587,Parameter/Setup Error,UAT,INSBFOS-423,"The issue is fixed and committed in the branch 'rhbi_profile4_UAT_121_9446_QUEST-7380_MSV_19Jan2023'.

File list:
motor/ApplicationSource/src/main/java/com/kgisl/nsure/transaction/services/MotorServiceImpl.java","Based on the MOTOR_SAVER_APPROVAL_CUTOFF_DATE configured in EIS_GENERAL_PARAMETERS table, mandatory validation will be applied for odometer reading, entitled mileage and final mileage.",[QUEST-7380/INSBFOS-1016] #Defect 06: MSV Shared API WS04 does not meet expected result ,UAT
INSBFOS-959,297810,Closed,01/Mar/23 5:04 PM,10/Mar/23 11:06 PM,,,C003602,10/Mar/23 11:06 PM,C003602,Program Error,,INSBFOS-162,Datatype for this Mobile no. field is changed to string from integer and able display complete mobile no. in mail.,"Due to invalid datatype declared for Mobile no. field, zero prefix was removed by default while assigning value to this field.",[Quest-5589][INSBFOS-162]#Defect 19: Contact number display in email is incorrect,Operation Readiness Test (ORT)
INSBFOS-1014,297634,Closed,01/Mar/23 4:17 PM,15/Mar/23 8:51 AM,,,462587,10/Mar/23 4:53 PM,462587,Program Error,UAT,INSBFOS-423,"The issue is fixed and committed yesterday in the branch 'rhbi_profile4_UAT_121_9446_QUEST-7380_MSV_19Jan2023'.

File list:
motor/ApplicationSource/src/main/java/com/kgisl/nsure/transaction/services/MotorServiceImpl.java","When the POC includes the leap year day , as the MSV POC Range validation does not consider the leap year day, MSV applicable indicator was set as 'N'. Hence the MSV is not displayed for user selection.",[QUEST-7380/INSBFOS-1014] #Defect 05: Motor saver section is missing in Diamond extra coverage screen,UAT
INSBFOS-953,296410,Closed,28/Feb/23 11:22 AM,27/Mar/23 11:14 AM,,,C006275,07/Mar/23 10:10 PM,C003602,Program Error,,INSBFOS-162,"Dear Hanis,

   The below issue has been resolved and files committed in release branch. Kindly deploy and check.

 Defect 17: JPJ Rejected, No Auto Refund
 Defect 18: Motor refer risk - JPJ Rejected within 24 hours, No Auto Refund

  Branch : release/rc-1.50.0-12DEC2022
  File : home/ApplicationSource/src/main/java/com/kgisl/nsure/payment/mpgs/utils/MpgsDataUtils.java


Regards,
Diamond Support Team",To be filled-up by developer upon fixes,"[Quest-5589][INSBFOS-162]#Defect 18: Motor refer risk - JPJ Rejected within 24 hours, No Auto Refund",Operation Readiness Test (ORT)
INSBFOS-938,295014,Closed,24/Feb/23 5:25 PM,14/Mar/23 11:15 AM,,,462587,09/Mar/23 9:30 AM,462587,Program Error,UAT,INSBFOS-423,"due to jenkins environment issue. after server password changed, SSH section also need to define in new way.","due to jenkins environment issue. after server password changed, SSH section also need to define in new way.",[QUEST-7380/INSBFOS-938] #Defect 04:Unable to integrate from GIS to Diamond via Jenkin job 30B,UAT
INSBFOS-936,294860,READY FOR TEST,24/Feb/23 3:45 PM,09/Mar/23 4:47 PM,,,453228,,453003,Program Error,UAT,,Fix in program level,Program logic issue,[QUEST-5354][INSBFOS-284] Defect #3-Error page in Reimbursement Log Point Report - Export to excel function,UAT
INSBFOS-935,294770,READY FOR TEST,24/Feb/23 3:39 PM,13/Apr/23 10:08 AM,,,453228,,181463,Program Error,UAT,INSBBOS-50,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[Quest-5354][INSBFOS-284] Defect # 2 - Transition case handling issue - Product Setup without MCO but MCO code integrated to GIS,UAT
INSBBOS-401,294930,Review In progress,24/Feb/23 2:14 PM,10/Jul/23 10:08 AM,,,199622,,407699,Program Error,Production,,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[BAU-Production Support] refund premium is different than calculated ,
INSBFOS-926,294179,Closed,23/Feb/23 3:46 PM,13/Apr/23 2:07 PM,,,453228,13/Apr/23 2:07 PM,C003602,Program Error,,INSBFOS-478,SA(Yasmin) had deployed the latest war into new environment to resolve this issue,"Original Regression (74:9445) no issue for EDMS
New Server (138:9447) war file is not latest and caused this issue.",[Quest-5086][INSBFOS-478] Defect 3 : Diamond unable to connect to EDMS,Operation Readiness Test (ORT)
INSBFOS-925,294204,Closed,23/Feb/23 3:27 PM,01/Mar/23 5:05 PM,,,C003602,01/Mar/23 5:05 PM,C003602,Program Error,,INSBFOS-162,"Based on the API Reference document, We have constructed void payment request URL & body JSON. but still, we facing 'org.springframework.web.client.HttpClientErrorException: 400 null' error.
 
  Can you please check with MPGS support team, whether anything missed out in the request URL/ body JSON.
 
 Void Payment URL : https://ap-gateway.mastercard.com/api/rest/version/61/merchant/001918502790/order/TRAN-REF0060069/transaction/CAP-TRAN-REF0060069-V
 Request Body JSON : {""apiOperation"":""VOID"",""transaction"":{""reference"":""TRAN-REF0060069-V"",""targetTransactionId"":""CAP-TRAN-REF0060069-V""}}
 HTTP method : PUT
 
 API Ref. Document Link : https://ap-gateway.mastercard.com/api/documentation/apiDocumentation/rest-json/version/61/operation/Transaction%3a%20%20Void.html?locale=en_US",To be filled-up by developer upon fixes,"[Quest-5589][INSBFOS-162]#Defect 17: JPJ Rejected within 24 hours, No Auto Refund",
INSBFOS-891,294004,Closed,22/Feb/23 9:17 PM,10/Mar/23 11:29 AM,,,C003602,10/Mar/23 11:29 AM,C003602,Program Error,,INSBFOS-162,Kindly set 'Interval for Notification' as 0. So that you can send up to 20 messages in same day.,"In the Notification setup, You have set 'Interval for Notification' as 1 day, which means you cannot send more than 1 message in same day (1 day interval required to send next message for same quotation).",[Quest-5589][INSBFOS-162]#Defect 16: WhatsApp notification setup,Operation Readiness Test (ORT)
INSBFOS-883,292755,Closed,21/Feb/23 10:10 AM,14/Mar/23 11:16 AM,,,462587,10/Mar/23 11:32 AM,462587,Program Error,UAT,INSBFOS-423,Data issue.,Data issue.,[QUEST-7380/INSBFOS-883] #Defect 03:Unable to integrate cover note via Jenkin job 5551B,UAT
INSBFOS-859,291617,Closed,17/Feb/23 5:13 PM,03/Mar/23 10:24 PM,,,C003602,03/Mar/23 10:24 PM,C003602,UI / Cosmetic,Pre-Prod,INSBFOS-162,e have overridden the OTP screen CSS by custom style added in Diamond in order displaying OTP screen content clearly. Kindly deploy latest source from RC-50 and check.,"The Bank's OTP page background style received as 'transparent'. So, when rendering OTP page consent on the top of Diamond screen, cosmetic issue occurred due to OTP screen content collide with diamond screen content .",[Quest-5589][INSBFOS-162]#Defect 15: IOS Screen cosmetic issue at OTP screen ,Operation Readiness Test (ORT)
INSBBOS-389,291152,Review In progress,17/Feb/23 9:24 AM,23/Aug/23 4:23 PM,,,199622,,407699,Program Error,Production,,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[BAU-Production Support] OR not integrate due to PM1448748,
INSBFOS-851,290779,Closed,16/Feb/23 4:50 PM,14/Mar/23 11:16 AM,,,462587,21/Feb/23 10:40 AM,462587,Program Error,UAT,INSBFOS-423,To be filled-up by developer upon fixes,"Error:-

2023-02-17 16:54:47 INFO  motor - Exception while invoking rule engine :faultName: {

{http://docs.oasis-open.org/wsbpel/2.0/process/executable}
selectionFailure}
messageType: {

{http://schemas.oracle.com/bpel/extension}
RuntimeFaultMessage}

org.springframework.ws.soap.client.SoapFaultClientException: faultName: {

{http://docs.oasis-open.org/wsbpel/2.0/process/executable}
selectionFailure}
messageType: {

{http://schemas.oracle.com/bpel/extension}
RuntimeFaultMessage}

2023-02-17 16:54:47 INFO  motor - Affected vehicle number :WNJ342,
Current Thread :WebContainer : 5
2023-02-17 16:54:47 DEBUG motor - null
org.springframework.ws.soap.client.core.SoapFaultMessageResolver.resolveFault(SoapFaultMessageResolver.java:38)
Exception Cause :org.springframework.ws.soap.client.SoapFaultClientException: faultName: {

{http://docs.oasis-open.org/wsbpel/2.0/process/executable}
selectionFailure}
messageType: {

{http://schemas.oracle.com/bpel/extension}
RuntimeFaultMessage}",[QUEST-7380/INSBFOS-851] #Defect 02: Diamond at premium tab vehicle number & motor premium details are blank,
INSBBOS-388,290843,Closed,16/Feb/23 2:17 PM,21/Jul/23 9:27 AM,,,407699,21/Jul/23 9:27 AM,407699,Program Error,Production,,"The issue is fixed and committed in RC-51 branch. 
*File list:*Integration/motor_cover_note/src/main/java/com/kgisl/nsure/integration/cn/dao/TransactionDAOImpl.java","The issue is fixed and committed in RC-51 branch. 
*File list:*Integration/motor_cover_note/src/main/java/com/kgisl/nsure/integration/cn/dao/TransactionDAOImpl.java",[BAU-Production Support] Diamond did not send extra benefit amount in cew table to GIS,
INSBBOS-387,290840,Closed,16/Feb/23 2:15 PM,21/Jul/23 9:27 AM,,,407699,21/Jul/23 9:27 AM,407699,Program Error,Production,,The issue is fixed and released to regression on '30-DEC-2022' and deployed to Production on '10-FEB-2023'.,"As the reported cases were integrated before deployment, kindly execute the below patch script for GIS.
 
UPDATE iis_nmtrxpayitemx SET piamount = 939 WHERE pipaymentno IN ('PJB1041987');
UPDATE iis_nmtrxpayitemx SET piamount = 843 WHERE pipaymentno IN ('PJB1041988') AND pipolicyno = 'D22SMSB4590628JB';
UPDATE iis_nmtrxpayitemx SET piamount = 1676 WHERE pipaymentno IN ('PJB1044691');",[BAU-Production Support] Item amount not tally with master amount (ESOA),
